"","P_E_DA","E_DA","P_E_RT","E_RT_total","P_R_REG_a","P_R_REG_d","R_REG_a","R_REG_d","delta_REG_p","delta_REG_n"
"795",13.448345,70865,12.264282,3089.20600000001,26.3169,50.5926,196.5,135.2,0,0.216425396825397
"796",12.943094,70840,10.994033,2752.072,27.5828,51.0972,203.6,135.2,0,0.448212698412698
"797",13.90363,72613,12.276034,2658.746,8.8437,14.11138,203.6,135.2,0,0.554015873015873
"798",16.625374,77377,15.518816,2839.52899999999,190.6416,214.04736,280.2,153.8,0,0.283507142857143
"799",25.525741,88168,23.22517,800.205000000002,284.36698,308.4553,308.4,143.5,0,0.105333333333333
"800",25.863433,91648,31.599635,2222.09,20.96004,33.24792,308.3,143.6,0,0.280019047619048
"801",24.578394,91685,21.687304,1952.57000000001,0,0,0,0,0,Inf
"802",23.612887,91624,22.16111,1678.48,0,0,0,0,Inf,0
"803",23.068253,91634,21.473245,1363.773,15.3468,36.99936,249.4,77.4,0,0.204290476190476
"804",22.788374,90417,21.295616,2317.55,9.0117,15.0195,218,158.3,0,0.0719547619047619
"805",22.184128,89119,20.196255,2887.121,9.56505,13.25915,218.2,157.8,0,0.0584166666666667
"806",21.451609,88103,21.177076,3633.947,38.39658,55.70436,218.1,158,0,0.0687095238095238
"807",20.453557,87361,18.55336,3391.23299999999,11.6784,13.0896,222.4,157,0,0.508811904761905
"808",20.032707,86653,20.871452,3578.83900000001,17.82365,24.23945,220.4,156.5,0.0124428571428571,0
"809",21.007145,88040,23.734144,3078.895,23.865,27.0642,255.8,156.1,0,0.166130952380952
"810",26.310031,93763,25.578722,561.203999999998,2.5245,2.5245,274,147.6,0,0.365754761904762
"811",27.320416,96197,24.590886,1022.226,2.5665,2.5665,280.5,147.7,0,0.200233333333333
"812",26.491637,93901,23.378816,2393.11599999999,1.026,1.026,280.5,147.7,0,0.194888095238095
"813",25.601757,92055,23.413024,2411.003,3.93805,8.02655,273.2,147.7,0,0.592990476190476
"814",23.187508,88193,23.701218,2424.73299999999,5.60952,7.08792,219,157.4,0,1.0251
